            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
  44       1          1    0.970    0.000     0.97   24.222   0.000   1.418   0.000     0.00229         0.27734  0.00000             -       -             -            -             -
  45       1          1    0.984    0.000     0.98   30.509   0.000   1.649   0.000     0.00223         0.27039  0.00000             -       -             -            -             -
  46       2          2    1.023    0.077     1.10   49.245   4.217   2.278   0.014     0.00220         0.13296  0.02926             -       -             -            -             -
  47       1          1    0.905    0.000     0.90   30.061   0.000   1.368   0.000     0.00217         0.26291  0.00000             -       -             -            -             -
  48       1          1    0.907    0.000     0.91   19.920   0.000   1.267   0.000     0.00214         0.25837  0.00000             -       -             -            -             -
  49       1          1    0.914    0.000     0.91   29.124   0.000   1.340   0.000     0.00211         0.25513  0.00000             -       -             -            -             -
  50       1          1    1.024    0.000     1.02   35.943   0.000   2.328   0.000     0.00197         0.23822  0.00000             -       -             -            -             -
  51       1          1    0.970    0.000     0.97   35.451   0.000   1.511   0.000     0.00187         0.22627  0.00000             -       -             -            -             -
  52       1          1    0.950    0.000     0.95   37.469   0.000   1.593   0.000     0.00167         0.20176  0.00000             -       -             -            -             -
  53       2          2    1.001    0.099     1.10   57.846   3.926   3.539   0.099     0.00167         0.10086  0.02948             -       -             -            -             -
  54       1          1    0.914    0.000     0.91   39.409   0.000   1.645   0.000     0.00150         0.18166  0.00000             -       -             -            -             -
  55       1          1    0.990    0.000     0.99   27.448   0.000   2.110   0.000     0.00142         0.17223  0.00000             -       -             -            -             -
  56       3          3    0.925    0.016     0.94   49.303   4.519   2.201   0.244     0.00140         0.05629  0.02990             -       -             -            -             -
  57       1          1    0.991    0.000     0.99   40.226   0.000   1.600   0.000     0.00139         0.16824  0.00000             -       -             -            -             -
