            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
  44       1          1    1.119    0.000     1.12   34.541   0.000   1.959   0.000     0.00162         0.19638  0.00000             -       -             -            -             -
  45       1          1    0.977    0.000     0.98   33.477   0.000   1.527   0.000     0.00156         0.18906  0.00000             -       -             -            -             -
  46       1          1    0.985    0.000     0.99   28.914   0.000   1.638   0.000     0.00147         0.17760  0.00000             -       -             -            -             -
  47       2          2    0.952    0.039     0.99   42.810   1.392   2.370   0.214     0.00146         0.08857  0.04472             -       -             -            -             -
  48       1          1    0.959    0.000     0.96   31.013   0.000   1.567   0.000     0.00135         0.16365  0.00000             -       -             -            -             -
  49       2          2    0.918    0.012     0.93   49.161   1.047   2.070   0.063     0.00134         0.08120  0.02159             -       -             -            -             -
  50       1          1    0.973    0.000     0.97   34.180   0.000   1.730   0.000     0.00122         0.14753  0.00000             -       -             -            -             -
  51       2          2    0.932    0.013     0.94   45.541   4.683   1.905   0.024     0.00119         0.07225  0.00413             -       -             -            -             -
  52       1          1    0.950    0.000     0.95   30.340   0.000   1.529   0.000     0.00115         0.13974  0.00000             -       -             -            -             -
  53       2          2    0.932    0.013     0.94   47.830   4.117   1.890   0.161     0.00108         0.06556  0.00230             -       -             -            -             -
  54       1          1    0.909    0.000     0.91   36.514   0.000   1.764   0.000     0.00091         0.10981  0.00000             -       -             -            -             -
  55       1          1    0.976    0.000     0.98   50.293   0.000   2.693   0.000     0.00090         0.10943  0.00000             -       -             -            -             -
  56       1          1    0.945    0.000     0.94   44.987   0.000   2.117   0.000     0.00090         0.10852  0.00000             -       -             -            -             -
  57       1          1    0.933    0.000     0.93   44.565   0.000   2.097   0.000     0.00086         0.10421  0.00000             -       -             -            -             -
  58       1          1    0.972    0.000     0.97   41.523   0.000   1.583   0.000     0.00081         0.09840  0.00000             -       -             -            -             -
  59       1          1    0.911    0.000     0.91   37.119   0.000   1.930   0.000     0.00078         0.09411  0.00000             -       -             -            -             -
  60       1          1    0.977    0.000     0.98   50.763   0.000   2.838   0.000     0.00072         0.08675  0.00000             -       -             -            -             -
  61       1          1    0.967    0.000     0.97   44.387   0.000   1.619   0.000     0.00071         0.08606  0.00000             -       -             -            -             -
  62       1          1    0.900    0.000     0.90   42.255   0.000   1.682   0.000     0.00069         0.08300  0.00000             -       -             -            -             -
  63       1          1    0.972    0.000     0.97   51.488   0.000   1.702   0.000     0.00062         0.07460  0.00000             -       -             -            -             -
  64       1          1    0.909    0.000     0.91   46.284   0.000   2.040   0.000     0.00052         0.06270  0.00000             -       -             -            -             -
  65       1          1    0.909    0.000     0.91   51.657   0.000   2.056   0.000     0.00048         0.05816  0.00000             -       -             -            -             -
  66       1          1    0.907    0.000     0.91   55.572   0.000   1.458   0.000     0.00046         0.05582  0.00000             -       -             -            -             -
  67       1          1    0.904    0.000     0.90   44.428   0.000   2.772   0.000     0.00046         0.05561  0.00000             -       -             -            -             -
  68       1          1    0.926    0.000     0.93   53.317   0.000   2.004   0.000     0.00041         0.04940  0.00000             -       -             -            -             -
  69       1          1    0.972    0.000     0.97   63.032   0.000   3.022   0.000     0.00040         0.04855  0.00000             -       -             -            -             -
  70       1          1    0.972    0.000     0.97   59.879   0.000   1.773   0.000     0.00034         0.04124  0.00000             -       -             -            -             -
  71       1          1    0.932    0.000     0.93   59.585   0.000   2.174   0.000     0.00032         0.03900  0.00000             -       -             -            -             -
  72       1          1    0.907    0.000     0.91   55.831   0.000   1.922   0.000     0.00031         0.03757  0.00000             -       -             -            -             -
  73       1          1    0.901    0.000     0.90   51.259   0.000   2.125   0.000     0.00031         0.03719  0.00000             -       -             -            -             -
  74       1          1    0.998    0.000     1.00   54.558   0.000   2.058   0.000     0.00030         0.03590  0.00000             -       -             -            -             -
  75       1          1    0.926    0.000     0.93   55.225   0.000   2.289   0.000     0.00029         0.03483  0.00000             -       -             -            -             -
  76       1          1    0.910    0.000     0.91   53.611   0.000   1.723   0.000     0.00025         0.03008  0.00000             -       -             -            -             -
  77       1          1    0.964    0.000     0.96   69.651   0.000   2.676   0.000     0.00022         0.02642  0.00000             -       -             -            -             -
  78       1          1    0.909    0.000     0.91   71.627   0.000   3.158   0.000     0.00008         0.00939  0.00000             -       -             -            -             -



-----------------------------------------------------------------------
 Thank you for using CAVER, please cite:

 Chovancova, E., Pavelka, A., Benes, P., Strnad, O., Brezovsky, J.,
 Kozlikova, B., Gora, A., Sustr, V., Klvana, M., Medek, P.,
 Biedermannova, L., Sochor, J. Damborsky, J. (2012) CAVER 3.0: A Tool
 for the Analysis of Transport Pathways in Dynamic Protein Structures.
 PLoS Comput Biol 8: e1002708. doi:10.1371/journal.pcbi.1002708
-----------------------------------------------------------------------
