Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.16699619386260495, 0.3259119267318581, 0.10961931436407757, 
2, 0.13713498550359415, 0.3858914708356952, 0.09400431710836585, 
3, 0.12944917909139875, 0.34050762326215755, 0.09044019545014949, 
4, 0.05976799109717308, 0.31443160533730186, 0.09132805674569608, 
5, 0.05928902743106284, 0.25621329711280727, 0.07896464335662622, 
6, 0.05765015822640059, 0.21138391349680216, 0.06255278043908565, 
7, 0.0558449947542178, 0.21797562468581785, 0.03905798395783978, 
8, 0.05177599594100927, 0.20209340351168134, 0.056350617637208784, 
9, 0.04998712698585052, 0.2085669781133763, 0.041194192072754834, 
10, 0.04631510503723439, 0.4310867468850278, 0.0700721607730758, 
11, 0.028872648681551136, 0.16636145192703275, 0.05492971190660838, 
12, 0.027467202928804803, 0.30213923221685285, 0.07454422136452162, 
13, 0.022955612553896918, 0.2314690932517939, 0.06848514573723016, 
14, 0.022076741179397542, 0.19080612019336446, 0.06335897121179455, 
15, 0.011656849013115363, 0.128225339144269, 0.034996492137683896, 
16, 0.01126035026358368, 0.19464319741337505, 0.05018542255243541, 
17, 0.00826479325566143, 0.10000399839350331, 0.025873750952130424, 
18, 0.007977767915339039, 0.3217699725853413, 0.0944952234761524, 
19, 0.007044109630838693, 0.21308431633287045, 0.05121832014766598, 
20, 0.006513548563835018, 0.11259133946057674, 0.04201375343679977, 
21, 0.0061734593348508225, 0.12449809658615825, 0.04840783190577612, 
22, 0.005661381947884486, 0.11417120261567047, 0.028497157186823868, 
23, 0.005388972371828992, 0.1304131313982616, 0.028818736899244683, 
24, 0.005354727809457903, 0.3239610324722031, 0.01609794733474565, 
25, 0.0048148046661650665, 0.2912956823029865, 0.045587847947740734, 
26, 0.00377374681464521, 0.2283116822860352, 0.053878868098878874, 
27, 0.0037199341356639517, 0.22505601520766907, 0.03560192193875353, 
28, 0.0036459306931814314, 0.14705253795831774, 0.05773490163452442, 
29, 0.0035812445818794118, 0.21666529720370442, 0.0017389582858849256, 
30, 0.0034007108486746383, 0.08229720253792625, 0.015798094052975727, 
31, 0.002974582032861946, 0.08998110649407387, 0.016004080038031086, 
32, 0.0028467503010916203, 0.34445678643208605, 0.0, 
33, 0.0022479436687870085, 0.27200118392322803, 0.0, 
34, 0.0015321590926188954, 0.18539125020688635, 0.0, 
35, 0.001294497219870911, 0.0783170818021901, 0.017715454345447777, 
36, 0.0012701504352103505, 0.1536882026604524, 0.0, 
37, 0.0012266930702252432, 0.14842986149725443, 0.0, 
38, 0.0011487253096605283, 0.13899576246892392, 0.0, 
39, 0.0010822078411550288, 0.1309471487797585, 0.0, 
40, 0.0010069512034891455, 0.12184109562218662, 0.0, 
41, 9.581776033204378E-4, 0.11593949000177298, 0.0, 
42, 9.059481465541732E-4, 0.10961972573305495, 0.0, 
43, 7.467581554078691E-4, 0.09035773680435216, 0.0, 
44, 7.072320306251847E-4, 0.04278753785282367, 0.006482896314646217, 
45, 6.872289407847134E-4, 0.04157735091747516, 0.018238489090683214, 
46, 6.764896593330071E-4, 0.08185524877929386, 0.0, 
47, 6.37843660406585E-4, 0.07717908290919678, 0.0, 
48, 6.215024050607807E-4, 0.07520179101235447, 0.0, 
49, 5.763770842425725E-4, 0.06974162719335128, 0.0, 
50, 5.5625757832985E-4, 0.06730716697791185, 0.0, 
51, 5.424156694226445E-4, 0.06563229600013998, 0.0, 
52, 5.051240831390884E-4, 0.061120014059829704, 0.0, 
53, 4.888619196478979E-4, 0.05915229227739565, 0.0, 
54, 4.8818245965848053E-4, 0.059070077618676144, 0.0, 
55, 4.706064109950912E-4, 0.05694337573040603, 0.0, 
56, 4.170896489627004E-4, 0.05046784752448675, 0.0, 
57, 3.967356740541115E-4, 0.048005016560547495, 0.0, 
58, 3.735068084523416E-4, 0.045194323822733334, 0.0, 
59, 3.687018472050853E-4, 0.044612923511815325, 0.0, 
60, 3.6806392827767577E-4, 0.04453573532159877, 0.0, 
61, 3.106715330792567E-4, 0.03759125550259006, 0.0, 
62, 3.0601930524416695E-4, 0.0370283359345442, 0.0, 
63, 2.5069260099278105E-4, 0.030333804720126506, 0.0, 
64, 1.8018745110738943E-4, 0.02180268158399412, 0.0, 
65, 1.0465931638604921E-4, 0.012663777282711954, 0.0, 
