Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.10049878762304845, 0.38001104069965197, 0.08075146226650262, 
2, 0.08437753605075927, 0.309384298852784, 0.06684547261372321, 
3, 0.021214996150301695, 0.21391787784887542, 0.05410960291400291, 
4, 0.020633426458004044, 0.24966446014184895, 0.06632551260473117, 
5, 0.01282763915941921, 0.15521443382897243, 0.0367016016944709, 
6, 0.009692409313821943, 0.23455630539449102, 0.05240899090024751, 
7, 0.009191025757511092, 0.27802852916471055, 0.044259937134451775, 
8, 0.009145618614903069, 0.1844366420672119, 0.057332041358955595, 
9, 0.008414647904061484, 0.12727154954892994, 0.029509773052067194, 
10, 0.006985641746753045, 0.1690525302714237, 0.02802035118524568, 
11, 0.006104552039391987, 0.2462169322554768, 0.017547578899519578, 
12, 0.005583426645657868, 0.225198208041534, 0.0016161093867215635, 
13, 0.004638458762224666, 0.2806267551145923, 0.0010580278783495212, 
14, 0.004064480951517491, 0.24590109756680822, 0.04110982717869249, 
15, 0.0029229716989475707, 0.17683978778632803, 0.03451773569316906, 
16, 0.0028182099913771955, 0.17050170447832033, 0.0061295731176427, 
17, 0.0027429158039824156, 0.08297320307046807, 0.014689466626555934, 
18, 0.002219451169297391, 0.2685535914849843, 0.0, 
19, 0.0020687398004849873, 0.25031751585868345, 0.0, 
20, 0.001983304960819066, 0.239979900259107, 0.0, 
21, 0.0019121267392476716, 0.23136733544896826, 0.0, 
22, 0.001756132277288165, 0.21249200555186795, 0.0, 
23, 0.0015509521996004236, 0.18766521615165127, 0.0, 
24, 0.0013871446861871116, 0.1678445070286405, 0.0, 
25, 0.001322359934903124, 0.08000277606163901, 0.01593410876342871, 
26, 0.001201745819857418, 0.1454112442027476, 0.0, 
27, 9.56062367531796E-4, 0.11568354647134732, 0.0, 
28, 8.905879323982679E-4, 0.10776113982019042, 0.0, 
29, 7.616809907956116E-4, 0.09216339988626901, 0.0, 
30, 7.582110437314179E-4, 0.09174353629150156, 0.0, 
31, 7.37364754367629E-4, 0.08922113527848312, 0.0, 
32, 6.814052580681318E-4, 0.08245003622624394, 0.0, 
33, 5.83725194421359E-4, 0.07063074852498444, 0.0, 
34, 5.711072002900455E-4, 0.0691039712350955, 0.0, 
35, 5.11328549219908E-4, 0.06187075445560887, 0.0, 
36, 4.15972796978621E-4, 0.05033270843441314, 0.0, 
37, 3.825421554319406E-4, 0.04628760080726481, 0.0, 
38, 2.8958465267385074E-4, 0.03503974297353594, 0.0, 
