Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.3418080653308987, 0.40949283074295784, 0.08839267525108913, 
2, 0.12990811624222967, 0.49121506454093095, 0.09919108570324084, 
3, 0.04873975040257904, 0.2808337999386697, 0.0734121454897148, 
4, 0.02659257733571995, 0.35752242862467937, 0.05276950979444016, 
5, 0.024372614040221917, 0.2680987544424411, 0.067424200989226, 
6, 0.024148999918034736, 0.36525362376027537, 0.05277136912800793, 
7, 0.02035155091637619, 0.1758955472058228, 0.038997083660665975, 
8, 0.01999861552657775, 0.24198324787159078, 0.06863367079083967, 
9, 0.018398752919292126, 0.31803558617633537, 0.0586567620510506, 
10, 0.015333894017781919, 0.30923352935860204, 0.0811293313840658, 
11, 0.01284067511411451, 0.2219602412582651, 0.07438094728964771, 
12, 0.010651561853341325, 0.2577677968508601, 0.12073215524974519, 
13, 0.010236730443851072, 0.24772887674119595, 0.044795292013069955, 
14, 0.008864290300051121, 0.2681447815765464, 0.062099487046470135, 
15, 0.008505780101009988, 0.20583987844444168, 0.04803048206405095, 
16, 0.0071762915358649145, 0.21708281895991366, 0.033132035990161984, 
17, 0.006238370233053009, 0.37742139909970707, 0.03873293157796148, 
18, 0.005592559257031907, 0.33834983505043037, 0.01764862145471527, 
19, 0.0052301587036456395, 0.3164246015705612, 0.12039299352931564, 
20, 0.004751310015310065, 0.11498170237050356, 0.02625603299359669, 
21, 0.004357016312760736, 0.2635994869220245, 0.022601620247233778, 
22, 0.003682191753882131, 0.2227726011098689, 0.011221335856635912, 
23, 0.00316496594324784, 0.19148043956649433, 0.02237904515819547, 
24, 0.0030284797341328914, 0.36644604783007984, 0.0, 
25, 0.002653864259981335, 0.16055878772887078, 0.004717453774937555, 
26, 0.0026237723773788967, 0.15873822883142324, 0.02206478510691824, 
27, 0.0023028239406879055, 0.2786416968232366, 0.0, 
28, 0.0021941136435207785, 0.26548775086601417, 0.0, 
29, 0.001786075449973222, 0.21611512944675984, 0.0, 
30, 0.0017201087838579778, 0.20813316284681532, 0.0, 
31, 0.0016833196728538492, 0.20368168041531576, 0.0, 
32, 0.0016278302970454512, 0.1969674659424996, 0.0, 
33, 0.0015458955871277822, 0.18705336604246164, 0.0, 
34, 0.0014719957927569268, 0.17811149092358813, 0.0, 
35, 0.0014697748053544878, 0.08892137572394651, 0.010217101425643776, 
36, 0.0014078442271988393, 0.17034915149105956, 0.0, 
37, 0.0011755270134335958, 0.14223876862546508, 0.0, 
38, 0.0011711686105908394, 0.14171140188149156, 0.0, 
39, 0.00108628645772965, 0.13144066138528765, 0.0, 
40, 0.0010791695491362075, 0.1305795154454811, 0.0, 
41, 9.173891726321279E-4, 0.11100408988848748, 0.0, 
42, 8.025355250971481E-4, 0.09710679853675493, 0.0, 
43, 5.104139774681322E-4, 0.06176009127364399, 0.0, 
44, 4.841223621700993E-4, 0.058578805822582014, 0.0, 
45, 3.8082292368183936E-4, 0.04607957376550256, 0.0, 
46, 3.097457181917272E-4, 0.03747923190119899, 0.0, 
47, 2.288006583441362E-4, 0.02768487965964048, 0.0, 
